"","Sample","Proportion","Ct","OTU"
"274","29C","0","26.71","contaminants"
"275","29M","0.02225","29.21","contaminants"
"276","30C","0","23.94","contaminants"
"277","31C","0","22.87","contaminants"
"278","31M","0.01275","30.8","contaminants"
"279","32C","0","26.11","contaminants"
"280","34C","0","18.5","contaminants"
"281","34M","0","19.1","contaminants"
"282","35C","0","24.87","contaminants"
"283","36C","0.001","28.05","contaminants"
"284","37C","0","22.89","contaminants"
"285","37M","0.01875","29.18","contaminants"
"286","38C","0","23.57","contaminants"
"287","38M","0.02225","28.21","contaminants"
"288","39C","0","22.48","contaminants"
"289","39M","0","22.9","contaminants"
"290","40C","0","24.99","contaminants"
"291","40M","0.007","29.08","contaminants"
"292","41C","0","21.83","contaminants"
"293","41M","0.00075","25.46","contaminants"
"294","42C","0","19.62","contaminants"
"295","42M","0.73475","29.88","contaminants"
"296","43C","0.00125","27.35","contaminants"
"297","44C","0.001","27.98","contaminants"
"298","45C","0","28.23","contaminants"
"299","46C","0","27.92","contaminants"
"300","47C","0","24.12","contaminants"
"301","47M","0.6675","33.27","contaminants"
"302","48M","0.00175","28.03","contaminants"
"303","49C","0","19.86","contaminants"
"304","50M","5e-04","23.93","contaminants"
"305","51M","0.00025","34.14","contaminants"
"306","52C","0","25.23","contaminants"
"307","52M","0.09","30.43","contaminants"
"308","53C","0","22.24","contaminants"
"309","54C","0","21.07","contaminants"
"310","55C","0","25.35","contaminants"
"311","56M","0","31.92","contaminants"
"312","57M","0.00075","27.24","contaminants"
"313","58M","0","26.87","contaminants"
"314","60C","0","26.07","contaminants"
"315","60M","5e-04","27.97","contaminants"
"316","61C","0","26.29","contaminants"
"317","62C","0","24.71","contaminants"
"318","62M","0.04","31.1","contaminants"
"319","64C","0","21.76","contaminants"
"320","65M","0","26.97","contaminants"
"321","66C","0","23.33","contaminants"
"322","66M","0.22625","36.36","contaminants"
"323","67C","0","26.99","contaminants"
"324","68C","0","26.1","contaminants"
"325","69C","0","23.03","contaminants"
"326","69M","0","23.43","contaminants"
"327","70C","0","18.86","contaminants"
"328","71C","0","25.68","contaminants"
"329","71M","0.55875","33.79","contaminants"
"330","72C","0","21.47","contaminants"
"331","72M","0","32.94","contaminants"
"332","73C","0","22.85","contaminants"
"333","74C","0.001","25.92","contaminants"
"334","75C","0","21.34","contaminants"
"335","76C","0","21.68","contaminants"
"336","77C","0","23.29","contaminants"
"337","77M","0","27.87","contaminants"
"338","79C","0","24.47","contaminants"
"339","80C","0.0065","29.4","contaminants"
